Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,Celtics,1,0,0,240,29,67,0.433,1,10,0.1,30,36,0.833,8,23,31,19,5,5,13,28,89
2010,Celtics,2,1,0,240,36,84,0.429,11,16,0.688,20,26,0.769,13,31,44,28,6,3,13,29,103
2010,Celtics,3,0,1,240,32,73,0.438,4,18,0.222,16,24,0.667,8,27,35,20,4,2,10,27,84
2010,Celtics,4,1,1,240,37,83,0.446,3,12,0.25,19,23,0.826,16,25,41,15,12,2,12,21,96
2010,Celtics,5,1,1,240,40,71,0.563,3,12,0.25,9,13,0.692,7,28,35,21,8,7,16,23,92
2010,Celtics,6,0,0,240,28,84,0.333,5,23,0.217,6,10,0.6,11,28,39,17,8,4,14,21,67
2010,Celtics,7,0,0,240,29,71,0.408,6,16,0.375,15,17,0.882,8,32,40,18,6,7,14,25,79
2011,Heat,1,1,1,240,31,80,0.388,11,24,0.458,19,26,0.731,16,30,46,20,5,4,10,21,92
2011,Heat,2,0,1,240,34,73,0.466,9,30,0.3,16,24,0.667,6,24,30,13,15,6,12,17,93
2011,Heat,3,1,0,240,34,78,0.436,8,19,0.421,12,15,0.8,9,27,36,20,8,5,10,27,88
2011,Heat,4,0,0,240,32,75,0.427,2,14,0.143,17,24,0.708,15,29,44,19,8,5,13,23,83
2011,Heat,5,0,0,240,37,70,0.529,8,20,0.4,21,26,0.808,9,27,36,25,5,4,16,26,103
2011,Heat,6,0,1,240,34,72,0.472,7,23,0.304,20,33,0.606,9,30,39,20,7,3,16,14,95
2012,Thunder,1,1,1,240,40,77,0.519,5,17,0.294,20,27,0.741,10,33,43,22,5,3,10,16,105
2012,Thunder,2,0,1,240,34,79,0.43,9,26,0.346,19,26,0.731,10,26,36,14,9,9,10,22,96
2012,Thunder,3,0,0,240,33,77,0.429,4,18,0.222,15,24,0.625,11,27,38,11,9,8,11,25,85
2012,Thunder,4,0,0,240,40,82,0.488,3,16,0.188,15,16,0.938,8,27,35,13,6,2,11,20,98
2012,Thunder,5,0,0,240,36,87,0.414,11,28,0.393,23,26,0.885,10,28,38,19,7,3,13,29,106
2013,Spurs,1,1,0,240,35,84,0.417,7,23,0.304,15,18,0.833,6,31,37,16,6,5,4,12,92
